,work_year,experience_level,employment_type,job_title,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
0,2020,MI,FT,Data Scientist,79833,Other,0,Other,L
1,2020,SE,FT,Other,260000,Other,0,Other,S
2,2020,SE,FT,Other,109024,Other,50,Other,M
3,2020,MI,FT,Other,20000,Other,0,Other,S
4,2020,SE,FT,Machine Learning Engineer,150000,USA,50,USA,L
5,2020,EN,FT,Data Analyst,72000,USA,100,USA,L
6,2020,SE,FT,Other,190000,USA,100,USA,S
7,2020,MI,FT,Data Scientist,35735,Other,50,Other,L
8,2020,MI,FT,Other,135000,USA,100,USA,L
9,2020,SE,FT,Other,125000,Other,50,Other,S
10,2020,EN,FT,Data Scientist,51321,Other,0,Other,S
11,2020,MI,FT,Data Scientist,40481,Other,0,Other,L
12,2020,EN,FT,Data Scientist,39916,Other,0,Other,M
13,2020,MI,FT,Other,87000,USA,100,USA,L
14,2020,MI,FT,Data Analyst,85000,USA,100,USA,L
15,2020,MI,FT,Data Analyst,8000,Other,50,Other,L
16,2020,EN,FT,Data Engineer,41689,Other,100,Other,S
17,2020,SE,FT,Other,114047,Other,100,Other,S
18,2020,EN,FT,Other,5707,Other,50,Other,M
19,2020,MI,FT,Other,56000,Other,100,USA,M
20,2020,MI,FT,Machine Learning Engineer,43331,Other,0,Other,M
21,2020,MI,FT,Other,6072,Other,100,Other,L
22,2020,SE,FT,Data Engineer,47899,Other,50,Other,L
23,2020,MI,FT,Other,98000,USA,0,USA,M
24,2020,MI,FT,Other,115000,Other,0,Other,L
25,2020,EX,FT,Other,325000,USA,100,USA,L
26,2020,EN,FT,Other,42000,Other,50,Other,L
27,2020,SE,FT,Data Engineer,33511,Other,0,Other,S
28,2020,EN,CT,Other,100000,USA,100,USA,L
29,2020,SE,FT,Other,117104,Other,50,Other,L
30,2020,MI,FT,Other,59303,Other,100,Other,S
31,2020,EN,FT,Other,70000,USA,100,USA,L
32,2020,SE,FT,Data Scientist,68428,Other,100,USA,L
33,2020,MI,FT,Other,450000,USA,0,USA,M
34,2020,MI,FT,Data Analyst,46759,Other,50,Other,L
35,2020,MI,FT,Data Engineer,74130,Other,50,Other,L
36,2020,MI,FT,Other,103000,USA,100,USA,L
37,2020,EN,FT,Machine Learning Engineer,250000,USA,50,USA,L
38,2020,EN,FT,Data Analyst,10000,Other,100,Other,S
39,2020,EN,FT,Machine Learning Engineer,138000,USA,100,USA,S
40,2020,MI,FT,Data Scientist,45760,Other,100,USA,S
41,2020,EX,FT,Other,79833,Other,50,Other,L
42,2020,MI,FT,Other,50180,Other,0,Other,M
43,2020,MI,FT,Data Engineer,106000,USA,100,USA,L
44,2020,MI,FT,Data Engineer,112872,Other,50,Other,L
45,2020,EN,PT,Other,15966,Other,100,Other,S
46,2020,MI,FT,Data Scientist,76958,Other,100,Other,S
47,2020,SE,FT,Data Engineer,188000,USA,100,USA,L
48,2020,MI,FT,Data Scientist,105000,USA,100,USA,L
49,2020,MI,FT,Data Engineer,70139,Other,50,Other,L
50,2020,EN,FT,Data Analyst,6072,Other,0,Other,S
51,2020,EN,FT,Data Analyst,91000,USA,100,USA,L
52,2020,EN,FT,Other,45896,Other,50,Other,S
53,2020,EN,FT,Data Engineer,54742,Other,100,Other,L
54,2020,SE,FL,Other,60000,Other,100,USA,S
55,2020,SE,FT,Other,148261,Other,100,Other,M
56,2020,MI,FT,Data Scientist,38776,Other,100,Other,M
57,2020,MI,FT,Data Scientist,118000,USA,100,USA,M
58,2020,SE,FT,Data Scientist,120000,USA,50,USA,L
59,2020,MI,FT,Data Scientist,138350,USA,100,USA,M
60,2020,MI,FT,Data Engineer,110000,USA,100,USA,L
61,2020,MI,FT,Data Engineer,130800,Other,100,USA,M
62,2020,EN,PT,Data Scientist,21669,Other,50,Other,S
63,2020,SE,FT,Data Scientist,412000,USA,100,USA,L
64,2020,SE,FT,Machine Learning Engineer,45618,Other,100,Other,S
65,2020,EN,FT,Data Scientist,62726,Other,50,Other,S
66,2020,EN,FT,Data Scientist,49268,Other,0,Other,S
67,2020,SE,FT,Other,190200,USA,100,USA,M
68,2020,EN,FT,Data Scientist,105000,USA,100,USA,S
69,2020,SE,FT,Data Scientist,91237,Other,0,Other,S
70,2020,MI,FT,Data Scientist,62726,Other,50,Other,S
71,2020,MI,FT,Data Scientist,42197,Other,50,Other,S
72,2021,EN,FT,Other,82528,Other,50,Other,L
73,2021,EX,FT,Other,150000,Other,100,USA,L
74,2021,EX,FT,Other,235000,USA,100,USA,L
75,2021,SE,FT,Data Scientist,53192,Other,50,Other,L
76,2021,MI,FT,Other,100000,USA,100,USA,M
77,2021,MI,PT,Other,5409,Other,50,Other,M
78,2021,MI,CT,Other,270000,USA,100,USA,L
79,2021,EN,FT,Data Analyst,80000,USA,100,USA,M
80,2021,SE,FT,Other,79197,Other,100,Other,L
81,2021,MI,FT,Data Engineer,140000,USA,100,USA,L
82,2021,MI,FT,Other,54238,Other,50,Other,L
83,2021,MI,FT,Machine Learning Engineer,47282,Other,100,Other,S
84,2021,EX,FT,Other,153667,Other,100,Other,L
85,2021,MI,FT,Data Engineer,28476,Other,100,Other,L
86,2021,EN,FT,Data Analyst,59102,Other,50,Other,M
87,2021,MI,FT,Other,110000,USA,100,USA,L
88,2021,SE,FT,Other,170000,USA,100,USA,L
89,2021,SE,FT,Data Analyst,80000,Other,100,USA,S
90,2021,SE,FT,Other,88654,Other,100,Other,L
91,2021,EN,FT,Other,76833,Other,100,Other,S
92,2021,MI,FT,Other,19609,Other,100,Other,L
93,2021,SE,FT,Other,276000,USA,0,USA,L
94,2021,EN,FT,Data Scientist,29751,Other,50,Other,L
